"PRODUCT NDC","PRODUCT TYPE NAME","NONPROPRIETARY NAME","DOSAGE FORM NAME","ROUTE NAME","MARKETING CATEGORY NAME","ESTABLISHMENT INFORMATION","SUBSTANCE NAME","ACTIVE INGREDIENTS INFO","NDC PACKAGE CODE","PACKAGE DESCRIPTION","REPORTING PERIOD","DEA SCHEDULE"
"70092-478","HUMAN COMPOUNDED DRUG","Ephedrine PF 5 mg/ml in 5 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","25 mg/5 mL","70092-478-44","5 mL in 1 SYRINGE (70092-478-44)","2022-2, 2022-1",""
"70092-478","HUMAN COMPOUNDED DRUG","Ephedrine PF 5 mg/ml in 5 ml NS syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","EPHEDRINE SULFATE","25 mg/5 mL","70092-478-44","5 mL in 1 SYRINGE (70092-478-44)","2022-2, 2022-1",""
"70092-500","HUMAN COMPOUNDED DRUG","Fent 2 mcg/ml-Bup 0.1% PF 250 ml NS IVB","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE","500 ug/250 mL; 250 mg/250 mL","70092-500-37","250 mL in 1 BAG (70092-500-37)","2022-2, 2022-1","CII"
"70092-500","HUMAN COMPOUNDED DRUG","Fent 2 mcg/ml-Bup 0.1% PF 250 ml NS IVB","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE","500 ug/250 mL; 250 mg/250 mL","70092-500-37","250 mL in 1 BAG (70092-500-37)","2022-2, 2022-1","CII"
"70092-504","HUMAN COMPOUNDED DRUG","Fent 2 mcg/ml-Ropiv 0.2% PF 100ml NS IVB","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","200 ug/100 mL; 200 mg/100 mL","70092-504-36","100 mL in 1 BAG (70092-504-36)","2022-2, 2022-1","CII"
"70092-504","HUMAN COMPOUNDED DRUG","Fent 2 mcg/ml-Ropiv 0.2% PF 100ml NS IVB","INJECTION","EPIDURAL","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE; ROPIVACAINE HYDROCHLORIDE","200 ug/100 mL; 200 mg/100 mL","70092-504-36","100 mL in 1 BAG (70092-504-36)","2022-2, 2022-1","CII"
"70092-509","HUMAN COMPOUNDED DRUG","Fentanyl PF 50 mcg/ml 50ml IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","2.5 mg/50 mL","70092-509-35","50 mL in 1 BAG (70092-509-35)","2022-2, 2022-1","CII"
"70092-509","HUMAN COMPOUNDED DRUG","Fentanyl PF 50 mcg/ml 50ml IVB","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","FENTANYL CITRATE","2.5 mg/50 mL","70092-509-35","50 mL in 1 BAG (70092-509-35)","2022-2, 2022-1","CII"
"70092-517","HUMAN COMPOUNDED DRUG","Morphine PF 1 mg/ml in 1 ml NS- 3 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MORPHINE SULFATE","1 mg/1 mL","70092-517-43","1 mL in 1 SYRINGE (70092-517-43)","2022-2, 2022-1","CII"
"70092-517","HUMAN COMPOUNDED DRUG","Morphine PF 1 mg/ml in 1 ml NS- 3 ml syr","INJECTION","INTRAVENOUS","OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS)","QuVa Pharma, Inc.","MORPHINE SULFATE","1 mg/1 mL","70092-517-43","1 mL in 1 SYRINGE (70092-517-43)","2022-2, 2022-1","CII"
